Handle,Post,Date
@OliverKym3,muranga county sabasaba mumbu area weve transformer problem longest time always call offices nothing done transformer used schools within students suffering electricity comes month assist,22-Apr
@OliverKym3,muranga county sabasaba mumbu area weve transformer problem longest time kindly ever faulty use electricity like month always call offices nothing done us work using computers weve running loss,22-Apr
@TORREZG2,kenyapower kindly assist us fix transformer taken month darkness around githurai next railway station entrance,22-Apr
@Naitalel_maina,kenyapowercare power hours faulty transformer u deal kindly acc,22-Apr
@Edmondbob,kenyapowercare transformer umoja market next lips supermarket blown kindly send team come work,22-Apr
@AuthorKevinPope,interruption power supply lasted days mutuati town igembe north sub county hospital darkness businesses burning fuel daily office mauaresponsible line bothered removed transformer comatose brought dead one,22-Apr
@dannyn_37,kenyapowercare hi theres faulty line transformer makueni road kileleshwa last days sparking shortcircuiting power whole area please check lines transformer itthey cause fire damages,22-Apr
@AuthorKevinPope,kenyapowercare kenyapower power since th april work igembe north mutuati town financial institution rely heavily electricity office maua town maintains line replaced faulty transformer another junkie,22-Apr
@ronmutuma,power since saturday due faulty fuse transformerkindly assist,22-Apr
@gmagenyi,kenyapowercare status saghasa transformer expect power back days total darkness ref number complaint,22-Apr
@Vickiraince2,even monopoly disconnect electricity removing transformer fuse phase saturday afternoon failing replace making us black two days upto date hamjatengeneza jee huu ni ungwana,22-Apr
@murithi_ronnie,ref urgent change transformer weeks without power kenyapowercare,22-Apr
@GATETENJOROGE,kenyapowercare long take repair fault transformer darkness last five days uthiru seems like one addressing issue,22-Apr
@essydarling,kenyapowercare umoja c e area transformer blew night lights send tech team,22-Apr
@frachidibwoy,hello weve lost power since yesterday pm tuliskia loud bang kwa transformer umoja court,22-Apr
@car_deals_ke,kenyapowercare kenyapower limuru walter karanja rd without power week please assist issue transformer vandalized alarm raised time taken kplc checks havent heard,22-Apr
@wachira_WaGi2gi,kenyapowercare theres transformer burning around kariobangi north light industry kenyapower,21-Apr
@essydarling,power outtage umoja c e area transformer fixed earlier today blown send tech team,21-Apr
@mzee_wa_jiji,change transformer bumala highway busia county please suffering,21-Apr
